Wn,HTE,I,h,Qc/A,Th,Tc
5.6,2.3,11.5,7700,13000,294.865106,337.9493564
7.1,4.3,29.5,2000,3600,299.7274077,254.9275154
6.8,0.8,16,5400,17400,296.3937381,310.6812195
5.9,2.1,20.5,7500,10800,294.9317513,300.347531
5.4,1.1,18,2700,1800,294.5262777,273.7445538
7,1.4,14,6900,7800,294.3635584,296.1490538
7,2.1,21,7100,9400,294.7722393,292.3890113
4,1.8,13.5,2800,4600,295.6569547,283.5198891
7.3,2.2,27,4000,15600,297.7926719,305.9563383
5.6,3.8,23,3800,5000,296.4776056,266.9655919
7.2,4.3,10.5,6800,9400,294.6045332,322.2488687
7.4,3.6,5.5,8700,20000,295.3540822,395.4805905
6.1,4.1,18,1600,4800,298.8958516,276.1806476
5.6,3.5,25,7900,7000,295.0516334,276.4259174
6.1,0.8,4,1400,14000,303.0536046,327.0348283
6,1.2,15.5,1500,2000,295.3304492,279.7076056
7.4,2.7,28,7000,12000,295.4791755,292.2974783
7.3,4.1,30,100,17600,654.1432387,697.3376209
6.5,4.5,16.5,4800,16200,296.8431208,362.0091651
4.9,2.5,27.5,5800,17200,297.3924263,338.2057279
7,2.9,8,6700,2600,293.6117204,286.6698876
6.5,3.2,22.5,9000,19800,295.6193756,347.1549298
7.1,2.8,28,5900,1200,294.4022092,252.0259007
4.4,4,15,8500,5000,294.3423971,286.4585002
6.2,3,1.5,6200,7800,294.3881977,344.6369191
4.2,2.5,6.5,1300,4800,297.1934865,314.6534126
4.6,1.2,2,6400,6400,294.1380176,321.9189624
6.2,3.3,15.5,5400,9400,295.2407206,308.7100476
4.5,2.5,26,8800,6000,294.9327177,269.2968424
4.8,2.8,19.5,4200,4800,295.6056394,270.9242302
7.8,0.8,4,1500,4000,295.8221348,298.1690665
6.5,2.8,2.5,9400,14800,294.6871851,377.1243804
7,0.7,26,9400,19800,295.3367201,303.9356306
7.5,3.7,16,1800,8600,298.8933099,302.6007005
4.5,0.6,28.5,3100,6600,296.378196,280.2548735
5.3,2.4,20,300,17000,362.8313141,392.4797024
6.2,4,11,4500,2000,293.9737723,270.0358874
4.7,3.2,10.5,9000,3200,293.717075,278.2239429
8,2.7,21.5,10000,6400,294.0406996,281.4566875
5.6,2.4,23.5,8200,2800,294.1739214,256.8427586
4.7,1.9,2.5,5300,7400,294.515989,341.7504772
4.7,1.3,27.5,6800,9800,295.3557994,285.3740594
7.7,0.9,22.5,7400,11600,294.8346728,295.2802884
4.7,2.9,9.5,1400,5000,297.5846276,301.9842657
7.6,0.7,8,600,9400,308.8428742,314.5424104
4,4.1,6.5,1000,6800,300.4469607,368.8594579
5.8,0.9,30,3400,6600,296.1062497,279.7158688
4.2,1.7,2,5100,15600,296.1178175,425.7545667
6.5,0.8,3,7800,18200,295.4650365,325.162165
6.1,0.9,25,3400,6600,295.7217506,284.5646419
7,0.5,2,6700,12400,294.9956586,306.1038167
6.1,3.4,21.5,7900,6400,294.5891645,277.4842873
6.8,2.7,12.5,700,15800,315.8997278,358.8495947
5.3,2.9,22.5,1100,3400,302.4647029,261.82233
6.2,2.4,27,8000,15000,295.5810449,308.2706392
4.2,0.7,3.5,8000,19000,295.4796677,359.480057
6.8,1,22,1200,3200,297.2296292,283.0732805
6.6,1.8,20,7500,12000,294.957898,302.3295771
7,1.4,22.5,9800,17600,295.0509085,310.2627822
4.3,2,11.5,6900,12400,295.016965,351.870647
7.2,2,7,900,15800,310.3486754,351.8254527
4.8,2,17,2300,13200,299.7218891,332.4295114
5.9,1.1,24,1100,6600,301.5047215,287.8105792
4.9,2.6,3.5,4100,3000,293.8993482,304.9932435
4.4,3.7,9.5,6100,19400,296.1421219,499.2065821
5.7,3.3,23,4400,13400,297.368199,321.5685296
4.4,4.3,6.5,2700,16200,298.6825005,511.7828216
5.9,3.6,12.5,2800,1600,294.5213599,263.903073
6.7,2.2,14,6100,2000,293.7134986,275.0312917
5.2,3.6,21.5,1300,3400,301.7031413,260.2226714
4.3,0.5,13,6600,14800,295.4040654,315.3753128
6.1,0.9,19.5,1300,3400,296.8783721,284.0059762
4.4,1,5.5,2000,7000,296.643755,315.5880973
5.2,1.3,8,9000,14400,294.7184297,338.1290813
6.2,1.2,7,800,18400,315.6971732,357.3137828
6.8,2.7,10,1700,12800,300.6738616,337.8445919
8,1.1,8.5,4000,2400,293.796,290.8019093
6.8,2.1,29.5,4100,12800,297.3603061,294.2293962
4.6,2,5.5,7600,17600,295.3436702,416.3941499
5.4,3.3,9.5,5400,16800,296.1386491,404.0002168
6.4,1.8,9.5,4600,9000,295.1444491,310.6946892
5.4,2.7,22.5,4300,9200,296.4880123,293.5140582
4.5,0.6,9.5,3200,13400,297.3144288,320.0793162
7.9,4.3,14.5,2500,15600,299.5877269,344.5856107
7.1,3.5,22.5,1100,14000,309.0942782,323.6576578
5.8,1.3,3.5,8300,4200,293.6560256,301.9406516
4.6,3.2,27,5200,14400,298.1459831,344.5310205
4.6,4.4,16.5,6800,1600,294.3748622,244.3082814
7.3,3.5,4.5,5300,7200,294.4927083,322.3742871
6.2,2.1,13,1900,5800,296.761405,293.7876549
4,4.2,20,9400,4000,294.8760988,277.5449996
7.7,3.7,18,4500,5800,294.9924722,282.4609236
7,1.4,2.5,7700,13800,294.9249251,328.0526229
6.9,3.1,13,4000,16600,297.3048863,350.1529494
5.3,3.8,24,8600,10600,295.3394846,308.8658879
6.6,4.3,14,700,17600,319.0756427,394.635508
6.5,1.9,30,2300,13400,300.9945923,298.215202
6.4,2,5,300,9000,322.8028266,349.6258163
4.7,3.4,11.5,8500,15000,294.9483541,402.064288
6.3,1.2,29,2700,18600,300.9360098,311.0105991
4.9,2,3.5,6500,4400,293.8256394,312.648736
4.1,3.4,11,6700,8200,294.6619213,341.6681264
6.5,0.5,27.5,8100,15200,295.1496879,296.9290631
7.3,2,19,5800,11000,295.2750461,300.1275476
5.1,1.5,14,2300,16400,300.3718793,344.1196036
8,0.6,16.5,900,16400,311.5336419,317.9896431
8,0.7,28.5,200,14000,371.998044,365.5845371
7.2,2.6,27,9000,13000,295.0233025,296.9745365
4.5,1.3,6,500,3000,299.6729808,298.9203288
6.5,4.3,11,4200,19800,297.669024,411.7789784
7.8,3.2,30,7700,7400,294.8860003,273.0620211
6.7,1.5,9.5,6900,11000,294.7489344,312.6248148
5.6,2.9,23,5900,11400,295.9308149,305.3728648
6.3,2.5,3,7200,20000,295.8497371,403.0587164
5.4,4.4,11,8900,9600,294.3560127,343.5250788
5.6,1.3,4.5,3100,14800,297.8276724,345.0137526
7.2,3.3,1,8500,18600,295.3134456,404.3789611
7.1,0.6,12,7100,15000,295.2628552,305.0660688
4.9,1.6,20.5,4800,12800,296.3491115,312.3129513
4.9,1.2,25,7700,18800,295.9020674,322.5988802
4.4,1.2,3.5,4900,4600,294.0860043,309.4423628
7.6,0.9,2,5600,15800,295.9585943,317.6123679
5.2,1.2,10.5,2200,10600,298.0512116,317.8044824
7.7,3,3.5,4000,2000,293.6652749,294.4538801
6,2.2,30,8200,10200,295.1745679,283.4011372
7.6,1,12.5,9300,18600,295.1382192,314.1542924
6.9,3,11,9400,3200,293.5966744,282.6405153
6.9,3.1,25.5,4000,15200,297.9581118,314.1440626
7.4,1.8,17,9800,11400,294.3959972,302.3151888
5.3,3,11.5,7600,8800,294.4421361,321.2151958
6,3.3,29.5,3300,17000,300.7083929,328.7122419
7,4.4,1.5,3600,13600,296.8458933,403.9678192
5.1,1.4,21.5,6300,12200,295.4718894,303.8414838
6.7,0.6,11,4600,5600,294.4084289,294.4764767
6.9,4,9,7400,3600,293.7436199,288.3659029
7.4,1,18,3700,16400,297.6699325,309.1611841
6,2.5,26.5,3600,9600,297.3869476,287.4571327
7.9,0.6,29.5,1900,13800,300.9922574,299.8638688
6.4,3.2,11.5,6300,16400,295.7201908,362.64445
4,0.8,29.5,6600,5400,294.8489416,267.9194172
5.6,1,8.5,2600,7200,295.9725892,303.9202801
4.6,1.9,4.5,8900,2800,293.4828288,297.3839098
7.8,2.1,2,3500,15000,297.3915271,342.304653
7.2,2.7,21,9000,2000,293.7441884,264.0227321
5.2,0.6,6.5,7300,14800,295.1549143,318.7476675
7.5,2.8,3,9300,16200,294.8560623,361.9185836
5.1,2.7,30,7200,17000,296.7914504,331.6687791
5.7,2.4,17.5,2700,15200,299.3172771,336.763077
6,3.1,10,1400,10000,300.5598501,334.3110518
5.4,3.7,24,6700,3400,294.9699163,253.4220299
4,2.7,9.5,9400,19800,295.1220228,483.9601372
5.1,3.7,27,6000,17800,297.784108,367.417887
7.8,2.7,22,5800,1400,293.9536347,264.2058457
5.8,3.1,16,3800,18800,298.2647911,374.5188027
7.4,3.9,11.5,6000,17600,296.0245668,364.3993602
7.8,3.2,7,6600,2200,293.535493,287.5299228
5.6,3.2,28.5,8200,10200,295.5132557,290.4975949
7.1,2.2,29.5,9900,17400,295.2720171,307.0638967
5.5,2.3,8,7900,17800,295.3074562,383.9152577
7.7,2.7,18.5,1500,18200,305.8070017,337.1707138
5.8,1.3,27.5,7700,17800,295.8011976,309.8527747
5.1,3.2,20.5,1300,8800,304.3957394,304.3490799
5.1,3.4,9,9000,16800,294.9279687,420.7881826
5.5,2.5,21,8400,12600,295.0511956,313.5867041
6.3,1.8,14,7200,17800,295.6203599,336.2848475
6.9,0.5,20.5,4400,9400,295.4143018,294.6561547
4.4,3.8,10.5,2500,7400,296.8316855,333.5845981
5.5,2.7,17.5,4000,8600,296.0088765,299.7999436
6.1,3.1,29,7300,8600,295.4430345,278.3974529
7.4,1,2.5,900,4000,297.5865684,302.1140413
5.3,1.7,1,5400,2800,293.6655155,306.1930818
4.6,3,26,9800,11800,295.388736,317.5816607
8,2.7,16,3400,9200,296.1693142,300.2081541
6,0.7,27,700,9200,309.3050104,300.8567544
7.3,2.1,19,8200,18000,295.4279231,322.8248391
7.8,1.2,8.5,9000,12200,294.5001395,308.3987572
6,3,25,5400,4800,295.2445234,264.2108503
5.8,2.2,29,6300,14200,296.3132152,302.9843194
6.9,1.9,16,5600,4000,294.1174834,281.7602453
6.3,3.3,13.5,8400,15000,294.9860126,349.2629096
5.4,2.3,12,7800,15000,295.0819312,352.150225
5.7,3.3,28.5,7900,14400,296.0366692,316.3980619
4.4,2,18,4600,1800,294.5083245,254.1765426
4.9,3.9,1,8700,2400,293.4220975,320.634171
6.7,2.5,7,5800,3200,293.7550996,292.0930448
6.7,2.9,2.5,600,3800,299.4491638,313.6389504
4,2.2,25.5,6200,10800,296.4425633,309.1059804
7.5,0.9,27.5,1100,10800,304.493143,299.5669094
4.5,2.7,1,7700,17200,295.3329661,497.5843388
7.7,4.5,15.5,2800,2800,295.0391159,270.3439016
6,2.9,23.5,900,13600,313.5974563,325.7523654
6.1,1.2,28.5,6000,9400,295.2729606,284.9075046
7.8,3.1,14,8400,11200,294.5623352,311.984637
6.2,3.2,11.5,2400,12000,298.319749,339.3759042
7.5,2.1,4,4500,6600,294.6069837,309.6836154
5.6,3.9,12.5,4000,7800,295.535301,313.7063756
4.5,1.5,3.5,4300,5800,294.4834187,320.5925352
5.2,2.2,4.5,5000,14400,295.9191334,383.0764569
4.9,3.7,3,4000,1000,293.4443385,286.8927417
4.9,0.5,6.5,1500,6000,297.1798411,302.2973813
4.7,1,18.5,9100,19000,295.3014553,331.9419701
4.9,2.4,12,5300,6000,294.5616327,297.1676155
4.2,2.2,6,300,19200,353.4702073,508.8487888
5.7,4.4,23,100,14000,610.4655388,665.122132
6.8,3.1,17,2200,15800,300.8277879,338.7760717
4.9,2,27,8600,8600,294.9642047,281.1225281
5.3,2.9,27.5,9100,12200,295.3958308,304.5295654
5.3,3.9,14,9100,1600,293.7134267,254.258009
6.1,3.4,6,3400,4600,294.5700519,306.3259849
5.3,2.1,17,500,11600,320.8081092,334.7547012
5.1,1.4,8,1600,19200,304.741139,375.6856839
7.8,3.8,22,1800,7800,299.5241951,287.826386
4.7,0.5,10,7000,13000,295.0037677,311.4243948
6.2,2.3,9,5100,15600,296.1357004,352.1291546
7.1,2.8,23,6500,3200,294.2690218,265.1030673
6,1.9,3.5,1500,4800,296.3385737,310.2433423
6.7,2.2,21,2600,1000,294.8059813,262.5685017
6.1,1.6,28.5,9100,8400,294.5561655,279.6976733
4.1,3.2,25.5,9800,2000,294.8211885,243.108224
5.8,2.8,21,7200,13400,295.464646,318.6029326
6.9,2,18,1200,2000,296.5758463,274.1138362
8,1.6,18.5,9700,4400,293.7315196,283.7737724
4.7,1.9,28.5,4000,6200,296.8330241,267.7897182
4.6,2.1,12,1400,9200,300.5032694,325.4411102
4.3,3,1,5800,16000,295.8352951,519.334577
4.9,2.3,17.5,700,10400,312.4347756,324.3126216
6.6,1.4,25.5,9800,17200,295.0880205,307.4221024
6,1.6,23,2400,19200,301.8324776,328.7896412
6.5,2.9,6,1000,5800,299.0553493,314.5501853
7.5,4.2,21.5,7300,5400,294.4777318,272.9104501
6.3,3.8,12.5,9900,2600,293.6119445,271.3443495
5.3,2.5,2.5,7300,11600,294.6928816,378.176947
6.1,3.9,26,7900,7000,295.0755124,274.4833434
5.8,3.5,4,1100,6000,298.5403187,333.4065553
6.1,4.4,21.5,3200,6400,297.135315,279.6050481
7.4,4.2,19.5,2600,2600,295.6803911,262.541711
7.4,2.8,28.5,700,12200,318.2731663,308.7718063
5.1,3.8,6.5,4500,8400,295.0156307,354.9860043
7.3,3.2,7,3200,3400,294.3130909,293.4870744
6.7,2.8,6,1500,10000,299.7125535,336.7956266
7.7,2.7,1.5,600,16400,320.1652097,387.858945
5.8,2,24,3700,11200,297.180307,297.6102214
6.9,4,10.5,6600,19600,295.9983169,393.4631304
4.3,2.9,13,3100,6000,295.9811592,299.6986641
7.1,4.5,6.5,7900,4600,293.7690694,303.4588598
8,3.7,13.5,7300,10400,294.6765254,311.7923278
7.3,1.9,3,6000,18400,296.1698328,351.9589232
4.7,2.2,23,400,19000,355.4735238,397.3942957
7.1,2.7,6,5000,10800,295.273555,331.3246725
8,4,29,6800,8600,295.3404923,278.058459
7.8,2.4,7.5,4000,14400,296.6866674,333.2101093
6.2,3.6,30,9700,11200,295.2590441,292.2447915
7.9,0.9,2.5,3100,12000,297.0033186,311.4622386
6.1,4.1,16.5,4400,11400,296.3133215,326.7054665
6.9,0.5,24.5,1500,10000,300.4040402,298.0483478
5,2,20.5,1700,6200,299.2467467,281.8222076
4.8,1.2,10.5,8900,10000,294.3017932,315.0582167
5.6,1.2,29.5,4100,17200,298.1495948,307.2836037
6.5,2,26.5,7900,9800,294.8869164,286.3602219
7.3,4.1,13.5,3400,12400,297.0192146,331.3264436
7.6,3.3,12,7400,19200,295.6871962,357.8963841
6.2,2.7,10,800,4400,299.6863742,295.7788737
4.3,2.4,1,9200,13200,294.5530806,447.7416983
4,0.6,7,4600,3400,293.9341572,293.5280686
4,3.4,11,7900,9200,294.5453256,358.3004237
5.7,0.7,2,1000,12400,305.4741846,328.7873576
4.9,3.9,26,9700,10200,295.4467489,312.2988667
4.9,1.4,16.5,7700,7600,294.3625245,293.1458388
5.8,3.1,28,1700,14600,306.3020228,321.2272278
6.3,2.2,27,4000,4400,295.6113902,265.7102964
6.5,3,10.5,8100,20000,295.5246798,381.8951135
8,1,7.5,300,12600,334.986739,346.7833042
4.4,2.1,27,5500,8000,296.2554585,280.659279
4.8,2.3,29,1300,10000,308.6487048,296.0804554
7.5,0.6,21,9800,6400,293.8741171,290.0429675
4.5,3.3,27.5,6200,18200,298.0894318,387.1338736
4.7,3.5,11,4200,3800,294.5777807,282.9963293
7.3,3,22.5,8100,2200,293.9216069,261.3900818
7.8,2.5,23,7500,16800,295.6163856,313.6131584
4.6,2.3,19,9400,17000,295.2257477,359.995818
7.6,2.8,18,8600,1600,293.6118532,267.8440808
7.6,2.1,2,7500,3800,293.654417,302.7059824
4.5,2.9,8.5,3300,8600,295.8883947,344.8294613
5.6,2,18.5,1700,4600,297.560597,278.042066
4.3,1.8,23.5,2400,15200,301.5770006,333.5768537
6.8,3.8,25,3000,6800,297.4933618,276.0064087
6.1,1.8,25.5,8200,11600,294.9835434,294.0951232
5,3.2,7.5,4600,8200,294.9755609,340.3924953
6.2,4.5,23,9900,5400,294.4292615,268.4727325
6.1,0.7,23,6100,17400,296.1295284,305.8113998
8,4.3,13,100,11200,423.4641065,427.9486883
4.8,1.3,10.5,1000,15200,308.2063467,354.2385563
7,2.7,10.5,8400,11600,294.5463037,323.4155631
7.9,4.1,11.5,5500,7600,294.6657797,304.5735252
6.5,3.7,23,1300,16600,309.1512916,343.8176978
4.1,2.1,22.5,7900,8000,295.0487167,289.153678
7,4.1,8,1300,5200,297.5136569,305.146182
5.4,1.6,28,600,12200,322.9754133,313.2795216
4.6,3.9,5.5,5100,20000,296.7337754,540.376226
5.4,0.6,7,4000,7400,295.0069574,302.229384
4.9,4.3,21,9700,9400,294.9799172,316.8628274
7.8,0.5,19,8100,5400,293.8738791,290.8581256
7.8,3.6,25,5800,16200,296.5084217,316.1483171
5.3,1.4,10,5900,16800,295.9390547,346.1283179
5.1,2.1,26,6200,20000,297.0674092,344.7014728
4.8,3.8,20.5,2500,10000,300.0908794,322.4553477
5.6,2.9,24.5,1100,16600,313.2078987,345.2495541
7.4,1.9,13.5,5800,14400,295.6627353,317.8323892
7,3.6,12,4300,19200,297.5036352,375.5387673
6.3,3.9,9,6300,12200,295.0728519,355.8391124
7.9,0.8,15.5,5300,2600,293.737311,287.8168185
7.7,4.1,13.5,7900,3800,293.8362613,279.7865609
6.5,1.5,14,8500,4600,293.7986815,286.8721887
5.2,2.4,10.5,8000,19800,295.5179609,399.8772789
4.6,1.4,21.5,3800,19600,298.7893993,345.2596022
7.9,3.1,26,4100,13000,297.1858718,299.8657159
7.3,4.2,4.5,9200,13000,294.5141301,368.6808121
4.3,1.6,17,9600,19400,295.2463421,369.0369176
4.6,4.4,29,4900,16200,300.6992822,418.1547784
4.5,2.2,28,8000,19400,296.5249488,354.0419901
6.6,0.6,26,9400,14000,294.7494263,296.1772632
7.1,3.5,12.5,6600,4200,293.9894453,284.1046241
6.8,0.6,9,500,2800,299.0729008,296.8229424
7.3,3.3,10,9600,1600,293.4122183,276.9745231
5.7,2,23.5,8000,4400,294.2610489,267.6617389
6,2.3,20,7100,15400,295.5840152,324.057251
5.1,3.2,20,1700,3200,298.6807924,260.0427421
6,4.4,11,5900,5200,294.2934244,295.0901875
7,1.5,15.5,7000,18000,295.7358628,322.2257745
7.9,2.7,5,1500,5800,297.0231958,309.0867841
7.4,1.5,25,2500,18800,301.2218624,314.8338759
5.4,1.3,8,6200,10000,294.7611511,317.6900059
5.4,3.9,18,5500,18600,296.960634,393.75953
5.1,3.6,23,3900,11800,298.1097403,323.2781006
4.3,0.7,16.5,7800,18800,295.5857067,329.6465136
4.5,2.8,14.5,200,7400,350.7516641,342.5962511
4.6,3.7,10,5300,4000,294.2661101,289.0816622
6.4,1.5,20,6900,15200,295.5101961,311.3474621
5.8,0.8,7.5,9200,3800,293.5792887,293.5688576
7.3,2.7,30,800,9400,312.6493868,292.6808931
4.4,4.4,1,7800,16600,295.2085025,592.8095284
7.5,0.8,12.5,2600,16200,299.3756647,311.9592617
5.7,4.2,6,2700,3600,294.641706,301.0315374
4.5,4,18,5500,3600,295.1531829,264.4007946
7.4,3,11,5200,8600,294.8912617,308.6455556
4.3,1.4,4.5,1900,5600,296.0943721,317.6298923
5.7,0.7,27.5,9500,10400,294.4626839,289.3188086
6,1.8,27.5,3700,3000,295.4036761,262.0094048
7.1,2,8,4100,2800,293.9139114,289.5850034
4.5,4.3,29,5800,2000,297.1965985,253.0098421
4.9,1.9,25,200,1800,346.2581294,281.8500944
4.6,3.1,22.5,6500,9600,295.8454327,306.9669581
6.2,1.7,22.5,1900,14000,301.6583466,311.3149159
4.7,2,19,7900,2400,294.0022408,258.2975636
7.8,3.6,15,4400,9400,295.559249,304.9597995
5.2,2.5,16,8200,16200,295.2561911,354.700103
6.6,2,24.5,5400,7600,295.1983637,281.8968907
7.8,4,17,6300,12200,295.3241228,315.4095378
4.8,1.7,14.5,2400,17200,300.4490535,358.3376252
4.7,1.4,6,2300,9200,297.1019492,330.7404432
5.2,4.2,13.5,1900,18200,303.0353313,431.6133698
8,2.2,4,2600,8800,296.4996762,317.2779836
6.4,1.5,18.5,7200,5200,294.1065524,282.9344465
4.4,1.7,10,4300,10600,295.6806222,335.4281606
4.3,1.5,24.5,300,18800,377.6707074,398.0337459
6.9,2.5,18,2400,9800,297.9609061,301.8139086
7.9,2.7,16,2400,10200,297.8229342,305.2182976
6.5,3.2,12.5,3700,19800,298.3716944,380.3579131
4.1,4.1,27.5,8000,2800,296.3661802,272.9757548
5,1.8,21,1400,14800,305.7473548,329.9944052
4.4,3.1,15.5,7800,14600,295.3318085,380.5440336
7.7,4.1,10.5,7000,4600,293.9297277,290.784698
4.1,3.5,15.5,4800,18200,297.4919606,455.9053972
6.5,3,26,8100,12000,295.2570175,298.0740471
4.7,1.4,27,300,10400,352.4949904,327.6838951
4.6,4.5,22,5100,10000,297.3427803,337.1966772
4.2,3.2,2,800,11000,306.2316763,465.1114183
4.3,3.8,25,7300,3800,295.7309492,264.3230004
6.7,2.6,29.5,6500,16200,296.4105601,308.3396798
5.8,2.2,25,900,3400,303.3616581,266.5450563
4.7,2.1,25.5,8100,2000,294.3725261,246.3779321
5.6,2.6,13,6600,13000,295.2093929,338.192847
5.1,2.2,1,9900,4200,293.5698634,321.9527007
4.4,2,6.5,4900,7400,294.675214,329.8277836
7.9,4.2,2.5,7400,6000,293.9494069,322.1695637
5.7,2.7,28.5,4200,19800,299.276598,340.8066477
5.2,3.3,20.5,5400,14400,296.6290227,342.778737
6.7,1.2,4.5,10000,4200,293.5723846,298.0891106
4.1,2.8,27,6700,4600,295.9451405,263.6345203
5.5,2.3,29.5,1600,17400,308.3015919,328.8554763
6.6,2,6.5,4300,10200,295.4966602,323.0242292
4.4,2.9,7.5,3900,12000,296.1416371,393.3288019
5,1.6,19,2700,16800,299.907027,336.871014
8,3.4,11,5900,3000,293.8061808,283.2324227
7.7,4.1,25,2700,12400,299.4358767,304.0675336
4,2.2,10,1700,4400,296.6256837,293.9291601
5.7,0.8,18.5,4800,14200,296.2395578,306.661577
6.8,3.1,1.5,700,7000,303.0182713,341.334672
6.1,3.1,13,8200,14600,294.9746498,348.5255719
7.9,2.6,10.5,1100,12600,304.6522436,329.5669376
7.1,2.2,3.5,2700,3800,294.5610865,302.2021663
5.1,2.3,16.5,4600,17800,297.2197249,362.7634769
6.1,4.3,19.5,9600,5600,294.2650967,275.7964452
6.7,1.6,20.5,7000,2200,293.7933866,272.3111295
5,1.4,20.5,8500,7600,294.3712183,286.2204575
7.2,3.2,1,6100,8400,294.5141346,339.5674215
7.7,0.5,14.5,4300,9800,295.4692098,297.445805
7.1,1.8,24,4800,1600,294.1487809,267.3182032
4.7,3.4,14.5,1600,7400,299.8643243,310.8654708
6.4,1.2,22.5,2500,18600,301.0032064,318.3409588
5.1,3.6,6.5,2900,2600,294.2788127,288.383286
6.3,3.3,17,4300,13200,296.6314743,328.3279085
6.6,3.2,19.5,9500,5000,294.0450489,274.1699401
6.9,1.4,4.5,6100,9600,294.7088354,314.0696703
5.8,3.2,23.5,3600,13600,298.3429575,320.1459941
5.7,3.9,25.5,2600,12600,301.1783231,319.695406
6.3,2.7,26.5,2700,7000,297.9498622,276.0688144
4.4,4.3,20,4800,13200,297.7570034,385.0542855
6.2,3.1,17,7300,11000,294.9346986,313.0870687
8,1.3,4,1100,2200,295.1817628,295.380732
5.6,2.3,11.5,7700,13000,294.865106,337.9493564
7.1,4.3,29.5,2000,3600,299.7274077,254.9275154
6.8,0.8,16,5400,17400,296.3937381,310.6812195
5.9,2.1,20.5,7500,10800,294.9317513,300.347531
5.4,1.1,18,2700,1800,294.5262777,273.7445538
7,1.4,14,6900,7800,294.3635584,296.1490538
7,2.1,21,7100,9400,294.7722393,292.3890113
4,1.8,13.5,2800,4600,295.6569547,283.5198891
7.3,2.2,27,4000,15600,297.7926719,305.9563383
5.6,3.8,23,3800,5000,296.4776056,266.9655919
7.2,4.3,10.5,6800,9400,294.6045332,322.2488687
7.4,3.6,5.5,8700,20000,295.3540822,395.4805905
6.1,4.1,18,1600,4800,298.8958516,276.1806476
5.6,3.5,25,7900,7000,295.0516334,276.4259174
6.1,0.8,4,1400,14000,303.0536046,327.0348283
6,1.2,15.5,1500,2000,295.3304492,279.7076056
7.4,2.7,28,7000,12000,295.4791755,292.2974783
7.3,4.1,30,100,17600,654.1432387,697.3376209
6.5,4.5,16.5,4800,16200,296.8431208,362.0091651
4.9,2.5,27.5,5800,17200,297.3924263,338.2057279
7,2.9,8,6700,2600,293.6117204,286.6698876
6.5,3.2,22.5,9000,19800,295.6193756,347.1549298
7.1,2.8,28,5900,1200,294.4022092,252.0259007
4.4,4,15,8500,5000,294.3423971,286.4585002
6.2,3,1.5,6200,7800,294.3881977,344.6369191
4.2,2.5,6.5,1300,4800,297.1934865,314.6534126
4.6,1.2,2,6400,6400,294.1380176,321.9189624
6.2,3.3,15.5,5400,9400,295.2407206,308.7100476
4.5,2.5,26,8800,6000,294.9327177,269.2968424
4.8,2.8,19.5,4200,4800,295.6056394,270.9242302
7.8,0.8,4,1500,4000,295.8221348,298.1690665
6.5,2.8,2.5,9400,14800,294.6871851,377.1243804
7,0.7,26,9400,19800,295.3367201,303.9356306
7.5,3.7,16,1800,8600,298.8933099,302.6007005
4.5,0.6,28.5,3100,6600,296.378196,280.2548735
5.3,2.4,20,300,17000,362.8313141,392.4797024
6.2,4,11,4500,2000,293.9737723,270.0358874
4.7,3.2,10.5,9000,3200,293.717075,278.2239429
8,2.7,21.5,10000,6400,294.0406996,281.4566875
5.6,2.4,23.5,8200,2800,294.1739214,256.8427586
4.7,1.9,2.5,5300,7400,294.515989,341.7504772
4.7,1.3,27.5,6800,9800,295.3557994,285.3740594
7.7,0.9,22.5,7400,11600,294.8346728,295.2802884
4.7,2.9,9.5,1400,5000,297.5846276,301.9842657
7.6,0.7,8,600,9400,308.8428742,314.5424104
4,4.1,6.5,1000,6800,300.4469607,368.8594579
5.8,0.9,30,3400,6600,296.1062497,279.7158688
4.2,1.7,2,5100,15600,296.1178175,425.7545667
6.5,0.8,3,7800,18200,295.4650365,325.162165
6.1,0.9,25,3400,6600,295.7217506,284.5646419
7,0.5,2,6700,12400,294.9956586,306.1038167
6.1,3.4,21.5,7900,6400,294.5891645,277.4842873
6.8,2.7,12.5,700,15800,315.8997278,358.8495947
5.3,2.9,22.5,1100,3400,302.4647029,261.82233
6.2,2.4,27,8000,15000,295.5810449,308.2706392
4.2,0.7,3.5,8000,19000,295.4796677,359.480057
6.8,1,22,1200,3200,297.2296292,283.0732805
6.6,1.8,20,7500,12000,294.957898,302.3295771
7,1.4,22.5,9800,17600,295.0509085,310.2627822
4.3,2,11.5,6900,12400,295.016965,351.870647
7.2,2,7,900,15800,310.3486754,351.8254527
4.8,2,17,2300,13200,299.7218891,332.4295114
5.9,1.1,24,1100,6600,301.5047215,287.8105792
4.9,2.6,3.5,4100,3000,293.8993482,304.9932435
4.4,3.7,9.5,6100,19400,296.1421219,499.2065821
5.7,3.3,23,4400,13400,297.368199,321.5685296
4.4,4.3,6.5,2700,16200,298.6825005,511.7828216
5.9,3.6,12.5,2800,1600,294.5213599,263.903073
6.7,2.2,14,6100,2000,293.7134986,275.0312917
5.2,3.6,21.5,1300,3400,301.7031413,260.2226714
4.3,0.5,13,6600,14800,295.4040654,315.3753128
6.1,0.9,19.5,1300,3400,296.8783721,284.0059762
4.4,1,5.5,2000,7000,296.643755,315.5880973
5.2,1.3,8,9000,14400,294.7184297,338.1290813
6.2,1.2,7,800,18400,315.6971732,357.3137828
